train_loss_epochs,val_loss_epochs,val_dice_epochs,validation_f1_epochs,validation_precision_epochs,validation_recall_epochs
0.06674737366466005,0.028935759271052283,0.02459016393442623,0.0,0.0,0.0
0.01374254685087394,0.012162919356640368,0.609141506621095,0.6009447853096196,0.7186849152699846,0.556344148534976
0.008095995546414013,0.009824780107487267,0.651858528666141,0.651858528666141,0.7825633340408323,0.5976864420501115
0.0067132273062305335,0.00987291285008589,0.6540532423885631,0.6458565210770877,0.7814308693785159,0.5832004237187202
0.005573566716267407,0.009678684107741708,0.620714114627755,0.620714114627755,0.7926484151575409,0.550830680231915
0.004908765138381688,0.008798661564484422,0.724066615116126,0.724066615116126,0.7054348077632671,0.7849555245722781
0.004522576860170156,0.00977654578309739,0.6878255832573918,0.6796288619459164,0.8163614021079828,0.6176118995444696
0.0038593856551529535,0.008926545337000462,0.7469095666511137,0.7387128453396383,0.7471104972675199,0.762114531345299
0.003758016894911028,0.008534841495333479,0.75245006315288,0.7442533418414046,0.8056833538242051,0.7226454047028159
0.0031270020167912514,0.009967320194726974,0.722753529244133,0.7186551685883954,0.7175267920753018,0.7702673905124491
