train_loss_epochs,val_loss_epochs,val_dice_epochs,validation_f1_epochs,validation_precision_epochs,validation_recall_epochs
0.12240941713874538,0.03897943746176411,0.0041028100102147485,4.449354477043523e-06,0.0009983186533705133,2.2296457633482994e-06
0.021939080908940343,0.02657432882993131,0.11074023706383801,0.09024795939080459,0.2283919219141845,0.06464141239598202
0.016755253556846067,0.02244460907646409,0.07378094374287118,0.06148586177565806,0.297008190108425,0.03750555412392952
0.01440465822402398,0.02171599515379773,0.11561587111526798,0.10741914980379258,0.4128613468172739,0.06688248585481636
0.013853462036830104,0.020780740909805126,0.009618167940419373,0.005519807284681669,0.10864218135104804,0.0029546427182050717
0.012722944604300339,0.02117537308797301,0.020491803278688523,0.0,0.0,0.0
0.012204460615687876,0.020286611329285106,0.1657147295043048,0.149321286881354,0.4239698979205864,0.10068410805371193
0.011736935745546838,0.02052717265691112,0.0757304162493636,0.06753262617652969,0.4097695280215703,0.03949847237336293
0.011207854938990744,0.019631014778526867,0.1280868828459953,0.11579185492602667,0.40883269628722674,0.07427202440360771
0.010768709059542584,0.019235088811702092,0.25245409514984024,0.23606086492950676,0.45905554759507944,0.18028711247425833
0.010385545172469845,0.019240025234526524,0.0747507469985991,0.05015869159382657,0.37402080296234375,0.02954243413922563
0.009878962608216498,0.01981987732369071,0.188123114143816,0.17992639283234058,0.4610649221874945,0.12747467985506966
0.009674506922227984,0.019384912475616745,0.10049632310798844,0.09639797631521627,0.4001799029742795,0.060011064255943845
0.00930621779429441,0.019928414528935644,0.13639563894756693,0.1200021963246161,0.44467231950944014,0.07627973052668033
0.008833018745140005,0.02151544016517425,0.31736707429689753,0.3009736316739467,0.45838704742357655,0.246687436568671
0.008711339580805628,0.022617945305280388,0.34166729682245384,0.32117550167375336,0.4227149204730789,0.27504491514324014
0.00830035709044691,0.01962646692812936,0.058506065443147175,0.05030934413167177,0.337189003416422,0.030592069277309883
0.008007500742509553,0.02005904709023868,0.10366402861240442,0.08317222533371589,0.4561949627212493,0.04983635595963875
0.0081013571737761,0.019469708429865097,0.11929078205270582,0.102897339429755,0.46466531161386826,0.062356612785599105
0.007750132873804775,0.019286404072124137,0.31572698717116243,0.29933255087282723,0.4615296230906216,0.24268688303327807
